treated,age,education,black,hispanic,married,nodegree,re75,re78,group,re74
1,18,8,0,1,1,1,0,2787.96,Exp treated,
1,20,11,1,0,0,1,0,3972.54,Exp treated,
1,25,11,1,0,1,1,0,0,Exp treated,
1,17,8,1,0,0,1,0,0,Exp treated,
1,17,9,1,0,0,1,0,0,Exp treated,
1,25,5,1,0,0,1,0,12187.41,Exp treated,
1,23,12,1,0,0,0,0,4843.1758,Exp treated,
1,28,8,1,0,0,1,0,0,Exp treated,
1,31,11,1,0,1,1,0,8087.4868,Exp treated,
1,18,11,1,0,0,1,0,0,Exp treated,
1,25,12,1,0,0,0,0,2348.9729,Exp treated,
1,30,11,1,0,1,1,0,590.7818,Exp treated,
1,17,10,1,0,0,1,0,0,Exp treated,
1,37,9,1,0,0,1,0,1067.506,Exp treated,
1,41,4,1,0,1,1,0,7284.9858,Exp treated,
1,42,14,1,0,1,0,0,13167.52,Exp treated,
1,22,11,0,0,0,1,0,1048.432,Exp treated,
1,17,8,1,0,0,1,0,0,Exp treated,
1,29,8,1,0,0,1,0,1923.938,Exp treated,
1,28,10,1,0,0,1,2836.5061,3196.571,Exp treated,
1,35,10,1,0,0,1,0,4666.2358,Exp treated,
1,27,11,1,0,0,1,0,549.2984,Exp treated,
1,29,4,1,0,0,1,0,762.91461,Exp treated,
1,28,9,1,0,0,1,0,10694.29,Exp treated,
1,27,11,1,0,0,1,0,0,Exp treated,
1,23,7,0,0,0,1,0,0,Exp treated,
1,45,5,1,0,1,1,0,8546.7148,Exp treated,
1,29,13,1,0,0,0,0,7479.6558,Exp treated,
1,27,9,1,0,0,1,0,0,Exp treated,
1,46,13,1,0,0,0,0,647.20459,Exp treated,
1,18,6,1,0,0,1,0,0,Exp treated,
1,25,12,1,0,0,0,0,11965.81,Exp treated,
1,28,15,1,0,0,0,0,9598.541,Exp treated,
1,31,9,1,0,0,1,1698.6071,10363.27,Exp treated,
1,25,11,0,0,0,1,0,18783.35,Exp treated,
1,22,12,1,0,0,0,0,18678.08,Exp treated,
1,28,11,1,0,0,1,1284.079,60307.93,Exp treated,
1,21,9,1,0,0,1,0,0,Exp treated,
1,40,11,1,0,0,1,0,23005.6,Exp treated,
1,22,11,1,0,0,1,0,6456.6968,Exp treated,
1,25,12,1,0,0,0,0,0,Exp treated,
1,27,9,1,0,1,1,934.44537,1773.423,Exp treated,
1,23,10,1,0,1,1,936.4386,11233.26,Exp treated,
1,29,10,1,0,0,1,4398.9502,0,Exp treated,
1,18,12,1,0,0,0,0,2321.1069,Exp treated,
1,38,12,0,0,0,0,0,4941.8491,Exp treated,
1,27,13,1,0,0,0,0,0,Exp treated,
1,27,8,1,0,0,1,0,0,Exp treated,
1,38,11,1,0,0,1,0,0,Exp treated,
1,23,8,0,1,0,1,0,3881.2839,Exp treated,
1,26,11,1,0,0,1,0,17230.961,Exp treated,
1,42,9,1,0,1,1,3058.531,1294.4091,Exp treated,
1,21,12,0,0,0,0,0,8048.603,Exp treated,
1,25,8,1,0,0,1,0,0,Exp treated,
1,31,11,1,0,1,1,0,14509.93,Exp treated,
1,17,10,1,0,0,1,0,0,Exp treated,
1,19,8,1,0,0,1,2657.0569,9970.6807,Exp treated,
1,29,14,1,0,0,0,679.6734,17814.98,Exp treated,
1,25,11,1,0,0,1,0,0,Exp treated,
1,21,12,1,0,0,0,0,9983.7842,Exp treated,
1,44,11,1,0,0,1,0,0,Exp treated,
1,19,10,1,0,0,1,385.27411,8124.7148,Exp treated,
1,25,12,0,0,0,0,0,5587.5029,Exp treated,
1,18,10,1,0,0,1,798.9079,9737.1543,Exp treated,
1,18,9,1,0,0,1,0,4482.8452,Exp treated,
1,19,9,1,0,0,1,798.9079,17685.18,Exp treated,
1,18,9,1,0,0,1,3287.375,5010.3418,Exp treated,
1,26,11,1,0,1,1,1392.853,1460.36,Exp treated,
1,42,12,1,0,0,0,0,2456.1531,Exp treated,
1,25,10,1,0,0,1,0,0,Exp treated,
1,31,9,0,1,0,1,0,26817.6,Exp treated,
1,24,10,1,0,0,1,0,0,Exp treated,
1,26,10,1,0,0,1,0,9265.7881,Exp treated,
1,20,12,1,0,0,0,377.5686,1652.637,Exp treated,
1,19,10,0,0,0,1,5324.1089,13829.62,Exp treated,
1,25,11,1,0,0,1,0,485.2298,Exp treated,
1,23,8,0,0,1,1,1713.15,4232.3091,Exp treated,
1,31,12,0,0,0,0,2611.218,2484.5491,Exp treated,
1,18,11,1,0,0,1,0,4814.627,Exp treated,
1,19,11,1,0,0,1,0,7458.105,Exp treated,
1,43,9,1,0,0,1,0,0,Exp treated,
1,27,13,1,0,0,0,0,34099.281,Exp treated,
1,26,11,0,0,0,1,2226.2661,13385.86,Exp treated,
1,29,10,0,1,0,1,8853.6738,5112.0142,Exp treated,
1,17,9,1,0,0,1,0,1953.2679,Exp treated,
1,30,11,1,0,0,1,0,0,Exp treated,
1,17,10,1,0,0,1,156.9491,10641.24,Exp treated,
1,20,12,0,0,1,0,8644.1563,11656.51,Exp treated,
1,17,9,1,0,0,1,375.10471,3621.707,Exp treated,
1,18,12,1,0,0,0,562.65698,0,Exp treated,
1,21,11,0,1,0,1,1395.39,0,Exp treated,
1,30,11,1,0,0,1,1913.0341,0,Exp treated,
1,18,11,0,1,0,1,5491.5352,2454.5,Exp treated,
1,20,12,1,0,0,0,9227.5586,0,Exp treated,
1,20,6,0,1,1,1,10802.98,4488.4951,Exp treated,
1,20,10,1,0,0,1,11073.09,0,Exp treated,
1,25,8,1,0,0,1,37431.66,2346.8279,Exp treated,
1,17,9,0,0,0,1,1618.15,6011.021,Exp treated,
1,18,10,0,1,0,1,2589.042,0,Exp treated,
1,19,9,0,1,0,1,6511.124,7913.3862,Exp treated,
1,19,11,1,0,0,1,192.7995,661.19238,Exp treated,
1,27,10,0,1,0,1,421.3024,3075.8621,Exp treated,
1,18,12,0,1,0,0,535.55328,1115.86,Exp treated,
1,22,11,1,0,0,1,606.96088,317.8952,Exp treated,
1,20,9,1,0,0,1,660.51593,12229.63,Exp treated,
1,20,11,1,0,0,1,696.21918,0,Exp treated,
1,18,10,1,0,0,1,699.78961,480.52701,Exp treated,
1,17,10,1,0,0,1,856.88641,3251.1001,Exp treated,
1,26,12,1,0,0,0,1088.907,11460.56,Exp treated,
1,22,10,1,0,0,1,1071.108,7315.4521,Exp treated,
1,20,12,1,0,0,0,1160.366,702.1839,Exp treated,
1,18,8,1,0,0,1,1199.641,0,Exp treated,
1,18,9,1,0,0,1,1285.33,15369.48,Exp treated,
1,18,10,1,0,0,1,1371.017,12064.41,Exp treated,
1,19,10,1,0,0,1,1374.587,13278.97,Exp treated,
1,18,9,0,1,0,1,1713.7729,8836.5664,Exp treated,
1,17,10,0,1,0,1,2202.7959,4387.0571,Exp treated,
1,19,11,1,0,0,1,1927.995,11965.81,Exp treated,
1,27,11,1,0,1,1,2142.217,2186.189,Exp treated,
1,19,10,1,0,0,1,3213.113,2975.031,Exp treated,
1,19,9,0,1,0,1,3276.1499,14271.23,Exp treated,
1,27,10,1,0,0,1,3213.322,2094.1189,Exp treated,
1,21,11,1,0,1,1,4167.998,11300.24,Exp treated,
1,29,10,1,0,1,1,4923.2632,130.67909,Exp treated,
1,34,11,0,1,0,1,4641.4668,2877.6819,Exp treated,
1,25,10,0,0,0,1,4712.874,6103.7461,Exp treated,
1,31,13,0,0,0,0,5498.3501,2329.8669,Exp treated,
1,41,9,1,0,1,1,5783.981,0,Exp treated,
1,21,11,0,1,0,1,6658.562,9381.2949,Exp treated,
1,20,11,1,0,0,1,6426.646,16451.461,Exp treated,
1,24,12,0,1,1,0,7212.1099,6485.5078,Exp treated,
1,41,9,1,0,1,1,7212.1201,3154.72,Exp treated,
1,21,12,0,0,0,0,7390.6338,3557.9341,Exp treated,
1,22,11,1,0,0,1,7497.752,668.74658,Exp treated,
1,20,9,0,1,0,1,8015.4419,5487.9702,Exp treated,
1,17,11,1,0,0,1,8497.4355,9017.0039,Exp treated,
1,24,11,1,0,0,1,9180.9199,0,Exp treated,
1,23,12,1,0,1,0,15079.95,10283.49,Exp treated,
1,23,10,1,0,0,1,15709.56,5665.0659,Exp treated,
1,26,11,0,0,0,1,22959.76,2746.614,Exp treated,
1,21,13,1,0,0,0,24806.83,8803.666,Exp treated,
1,18,10,1,0,1,1,1958.0959,10989.93,Exp treated,
1,22,10,1,0,0,1,653.95422,11134.98,Exp treated,
1,17,10,1,0,0,1,1000.55,1433.531,Exp treated,
1,20,7,1,0,0,1,1569.49,5518.083,Exp treated,
1,17,9,1,0,0,1,1667.583,5594.729,Exp treated,
1,23,11,1,0,0,1,1961.864,3689.126,Exp treated,
1,32,10,1,0,0,1,2321.5371,179.0217,Exp treated,
1,19,12,1,0,0,0,2534.072,4551.979,Exp treated,
1,30,10,1,0,0,1,2615.8169,0,Exp treated,
1,25,12,1,0,0,0,2746.6079,2090.678,Exp treated,
1,26,11,0,0,0,1,4676.457,1973.345,Exp treated,
1,19,10,1,0,0,1,3473.8081,5861.603,Exp treated,
1,19,8,0,0,0,1,3416.907,9251.3574,Exp treated,
1,20,10,1,0,0,1,5100.8389,13626.04,Exp treated,
1,21,11,1,0,0,1,5310.1069,7906.3408,Exp treated,
1,23,12,1,0,0,0,7841.9722,7947.2568,Exp treated,
1,19,11,1,0,0,1,6409.0269,11648.7,Exp treated,
1,22,11,1,0,0,1,8774.791,18295.82,Exp treated,
1,23,12,1,0,0,0,7782.042,14416.84,Exp treated,
1,26,10,1,0,1,1,8141.7031,4635.6602,Exp treated,
1,24,12,1,0,0,0,12982.34,0,Exp treated,
1,18,10,0,1,0,1,12625.51,0,Exp treated,
1,27,11,1,0,0,1,14223.5,7661.9731,Exp treated,
1,21,11,0,1,0,1,17983.711,15191.91,Exp treated,
1,25,8,0,0,0,1,23096.65,6421.5298,Exp treated,
1,21,12,1,0,0,0,807.95111,4350.9072,Exp treated,
1,19,11,1,0,0,1,532.2536,0,Exp treated,
1,18,11,1,0,0,1,851.60608,0,Exp treated,
1,34,7,1,0,0,1,857.51947,0,Exp treated,
1,21,11,0,0,0,1,946.22791,11412.24,Exp treated,
1,25,9,1,0,0,1,1536.5031,1709.342,Exp treated,
1,17,9,1,0,0,1,1341.651,1374.066,Exp treated,
1,28,8,1,0,0,1,1182.786,7779.2632,Exp treated,
1,18,9,1,0,0,1,1182.786,5100.4692,Exp treated,
1,27,12,1,0,0,0,4310.4551,0,Exp treated,
1,23,9,1,0,0,1,1774.1801,11464.71,Exp treated,
1,19,8,0,1,0,1,1862.889,8774.623,Exp treated,
1,21,11,1,0,0,1,2158.585,0,Exp treated,
1,21,11,1,0,0,1,2217.7241,4082.3701,Exp treated,
1,23,10,1,0,0,1,2217.7241,0,Exp treated,
1,27,9,1,0,0,1,2294.605,2018.556,Exp treated,
1,27,11,1,0,0,1,2483.8521,0,Exp treated,
1,23,12,0,0,0,0,3903.1951,796.55969,Exp treated,
1,27,8,1,0,0,1,7218.2769,7976.9321,Exp treated,
1,28,11,1,0,1,1,6952.5801,7318.186,Exp treated,
1,25,12,1,0,0,0,5204.2588,0,Exp treated,
1,20,12,1,0,0,0,6085.4209,9750.6602,Exp treated,
1,26,12,1,0,0,0,6608.8032,5811.7651,Exp treated,
1,23,10,1,0,1,1,10495.08,3385.811,Exp treated,
1,49,8,0,0,1,1,7285.9482,16717.119,Exp treated,
1,19,11,1,0,0,1,10224.37,11293.81,Exp treated,
1,21,13,0,0,0,0,8616.8516,99.570023,Exp treated,
1,27,12,1,0,1,0,7806.3872,2777.585,Exp treated,
1,23,11,1,0,0,1,8959.5889,1659.5,Exp treated,
1,22,11,1,0,0,1,12170.94,8408.3926,Exp treated,
1,24,15,1,0,0,0,13008.5,14683.63,Exp treated,
1,24,12,1,0,0,0,18154.061,0,Exp treated,
1,18,11,1,0,0,1,214.5636,929.88391,Exp treated,
1,17,10,1,0,0,1,5793.8521,5522.7881,Exp treated,
1,17,9,1,0,0,1,1253.439,5445.2002,Exp treated,
1,28,11,1,0,0,1,6871.856,0,Exp treated,
1,27,11,1,0,0,1,2666.2739,0,Exp treated,
1,19,11,1,0,0,1,2615.2759,4146.603,Exp treated,
1,18,11,0,0,0,1,919.55792,4321.7051,Exp treated,
1,24,10,1,0,0,1,2421.947,1660.5081,Exp treated,
1,23,12,1,0,0,0,3039.96,8484.2393,Exp treated,
1,21,9,1,0,0,1,5749.3311,743.66663,Exp treated,
1,21,12,1,0,0,0,3332.4089,9371.0371,Exp treated,
1,24,9,1,0,0,1,2288.675,4849.5591,Exp treated,
1,20,9,0,1,0,1,5875.0488,1358.6429,Exp treated,
1,25,13,1,0,0,0,3090.7319,0,Exp treated,
1,35,8,1,0,1,1,17976.15,3786.6279,Exp treated,
1,17,9,0,1,0,1,74.343452,6210.6699,Exp treated,
1,24,11,1,0,1,1,1666.113,4032.708,Exp treated,
1,20,12,1,0,0,0,165.2077,0,Exp treated,
1,21,8,1,0,0,1,3695.897,4279.6128,Exp treated,
1,18,10,1,0,0,1,1784.274,11141.39,Exp treated,
1,27,12,1,0,0,0,357.94989,22163.25,Exp treated,
1,22,9,1,0,0,1,3836.9861,3462.564,Exp treated,
1,46,8,1,0,0,1,2594.7229,0,Exp treated,
1,19,10,1,0,0,1,6056.7539,0,Exp treated,
1,19,11,0,1,1,1,5463.8032,6788.4629,Exp treated,
1,22,12,1,0,0,0,936.17731,0,Exp treated,
1,22,12,0,0,0,0,8455.5039,12590.71,Exp treated,
1,26,12,1,0,1,0,5794.8311,1424.944,Exp treated,
1,29,12,1,0,0,0,4878.937,10976.51,Exp treated,
1,31,9,1,0,0,1,5517.8408,9558.501,Exp treated,
1,29,12,1,0,0,0,1817.2841,0,Exp treated,
1,35,9,1,0,1,1,13830.64,12803.97,Exp treated,
1,25,12,1,0,0,0,2409.2739,0,Exp treated,
1,22,12,0,1,1,0,7055.7021,10092.83,Exp treated,
1,27,10,1,0,0,1,3550.075,0,Exp treated,
1,22,10,1,0,1,1,5588.6641,13228.28,Exp treated,
1,19,8,1,0,0,1,2937.2639,7535.9419,Exp treated,
1,20,11,1,0,0,1,1220.8361,1085.4399,Exp treated,
1,21,12,0,0,0,0,334.04941,12558.02,Exp treated,
1,27,12,1,0,1,0,334.04929,0,Exp treated,
1,20,10,1,0,0,1,2777.355,5615.189,Exp treated,
1,23,12,1,0,0,0,501.0741,671.33179,Exp treated,
1,27,13,0,0,1,0,853.72247,0,Exp treated,
1,23,12,0,1,0,0,1117.439,559.44318,Exp treated,
1,24,12,1,0,0,0,2842.7639,6167.6812,Exp treated,
1,20,11,1,0,0,1,1484.994,6943.3418,Exp treated,
1,26,10,1,0,0,1,6788.958,672.87732,Exp treated,
1,25,14,1,0,1,0,11536.57,36646.949,Exp treated,
1,26,10,1,0,1,1,0,0,Exp treated,
1,20,9,1,0,0,1,0,8881.665,Exp treated,
1,31,4,1,0,0,1,4023.2109,7382.5488,Exp treated,
1,24,10,1,0,1,1,4078.1521,0,Exp treated,
1,33,11,1,0,1,1,25142.24,4181.9419,Exp treated,
1,33,12,1,0,1,0,10941.35,15952.6,Exp treated,
0,23,10,1,0,0,1,0,0,Exp control,
0,26,12,0,0,0,0,0,12383.68,Exp control,
0,22,9,1,0,0,1,0,0,Exp control,
0,34,9,1,0,0,1,4368.4131,14051.16,Exp control,
0,18,9,1,0,0,1,0,10740.08,Exp control,
0,45,11,1,0,0,1,0,11796.47,Exp control,
0,18,9,1,0,0,1,0,9227.0518,Exp control,
0,27,12,1,0,0,0,2483.8511,3552.2681,Exp control,
0,24,8,0,0,0,1,0,10569.27,Exp control,
0,34,11,1,0,1,1,0,6040.335,Exp control,
0,20,13,1,0,0,0,8965.2432,9199.5635,Exp control,
0,24,4,0,1,0,1,0,3880.833,Exp control,
0,28,12,0,0,0,0,803.34302,16477.02,Exp control,
0,21,10,1,0,0,1,922.57288,0,Exp control,
0,28,12,1,0,1,0,29009.109,10067.43,Exp control,
0,20,12,1,0,0,0,6004.728,4779.7202,Exp control,
0,23,8,1,0,0,1,3403.0559,0,Exp control,
0,21,11,1,0,1,1,7244.561,8976.8262,Exp control,
0,36,10,1,0,0,1,0,0,Exp control,
0,18,12,0,0,0,0,735.20508,2502.5259,Exp control,
0,21,14,1,0,0,0,0,5775.062,Exp control,
0,30,13,1,0,0,0,5569.7612,0,Exp control,
0,26,11,0,1,0,1,1491.016,0,Exp control,
0,28,9,1,0,0,1,0,0,Exp control,
0,31,4,0,0,0,1,10711.08,0,Exp control,
0,18,12,1,0,0,0,642.66449,14444.71,Exp control,
0,27,7,1,0,1,1,0,0,Exp control,
0,19,11,0,0,0,1,0,0,Exp control,
0,20,8,1,0,0,1,0,0,Exp control,
0,28,8,1,0,0,1,10610.08,4623.188,Exp control,
0,34,12,1,0,0,0,0,2113.7219,Exp control,
0,24,10,1,0,0,1,0,7618.6392,Exp control,
0,24,9,1,0,0,1,0,16461.57,Exp control,
0,22,8,0,1,0,1,0,9920.9453,Exp control,
0,25,11,1,0,0,1,0,4196.375,Exp control,
0,20,11,0,0,0,1,1177.118,8743.0713,Exp control,
0,21,9,1,0,0,1,0,3343.2241,Exp control,
0,19,12,1,0,0,0,2814.1951,1720.907,Exp control,
0,39,9,1,0,0,1,0,0,Exp control,
0,19,9,1,0,1,1,0,16658.25,Exp control,
0,24,10,1,0,0,1,1307.908,0,Exp control,
0,44,9,1,0,0,1,0,9722.0029,Exp control,
0,23,11,1,0,0,1,1896.0229,5573.5469,Exp control,
0,22,12,1,0,0,0,532.2536,1333.4449,Exp control,
0,27,8,1,0,0,1,0,3783.6599,Exp control,
0,27,11,1,0,1,1,1122.621,215.83479,Exp control,
0,18,9,1,0,0,1,1605.448,0,Exp control,
0,25,8,1,0,0,1,0,3515.929,Exp control,
0,31,10,1,0,0,1,0,17014.59,Exp control,
0,28,10,1,0,0,1,6567.3291,5435.7871,Exp control,
0,26,10,1,0,1,1,558.77338,0,Exp control,
0,30,8,1,0,0,1,1706.657,0,Exp control,
0,28,11,0,1,1,1,0,6771.6221,Exp control,
0,34,10,1,0,1,1,0,0,Exp control,
0,21,7,0,1,0,1,0,0,Exp control,
0,33,12,1,0,0,0,0,5970.2568,Exp control,
0,19,9,1,0,0,1,1778.089,7171,Exp control,
0,20,11,1,0,0,1,7967.209,0,Exp control,
0,18,10,0,1,0,1,0,1859.167,Exp control,
0,27,12,1,0,1,0,752.39008,0,Exp control,
0,26,12,1,0,1,0,0,6191.9429,Exp control,
0,24,9,1,0,0,1,9662.6699,0,Exp control,
0,31,12,1,0,0,0,0,7284.394,Exp control,
0,22,12,1,0,0,0,2158.05,0,Exp control,
0,28,14,1,0,0,0,6539.5371,3123.116,Exp control,
0,35,10,1,0,0,1,0,445.8309,Exp control,
0,20,12,1,0,0,0,0,0,Exp control,
0,30,9,0,0,0,1,3141.917,1320.923,Exp control,
0,25,11,1,0,0,1,0,0,Exp control,
0,25,10,1,0,0,1,0,7367.04,Exp control,
0,35,11,1,0,0,1,0,0,Exp control,
0,22,8,1,0,0,1,6150.52,0,Exp control,
0,21,12,1,0,0,0,449.04791,0,Exp control,
0,20,10,1,0,0,1,0,2015.5031,Exp control,
0,21,8,1,0,0,1,2237.208,1764.108,Exp control,
0,25,9,0,1,0,1,0,15791.13,Exp control,
0,24,10,0,1,0,1,3000.8379,5350.0381,Exp control,
0,33,11,1,0,0,1,2899.8201,18859.891,Exp control,
0,21,9,1,0,0,1,12357.22,0,Exp control,
0,27,11,1,0,1,1,4491.8838,0,Exp control,
0,27,10,1,0,0,1,0,1135.47,Exp control,
0,20,11,0,1,0,1,0,6378.7202,Exp control,
0,25,13,1,0,0,0,10240.36,10020.72,Exp control,
0,18,11,1,0,0,1,645.27228,5497.5908,Exp control,
0,26,11,1,0,0,1,0,7176.187,Exp control,
0,38,8,1,0,0,1,0,0,Exp control,
0,21,11,1,0,1,1,7652.1201,8396.6543,Exp control,
0,34,11,1,0,0,1,8912.4844,5611.8662,Exp control,
0,21,10,1,0,0,1,1162.3621,39483.531,Exp control,
0,31,13,1,0,0,0,10393.61,7404.7622,Exp control,
0,34,10,1,0,0,1,0,7952.54,Exp control,
0,25,11,1,0,0,1,3649.769,0,Exp control,
0,24,9,1,0,0,1,1275.356,8644.4268,Exp control,
0,19,12,1,0,0,0,0,0,Exp control,
0,32,8,1,0,0,1,0,7152.1318,Exp control,
0,20,9,0,1,0,1,0,8329.8232,Exp control,
0,23,10,1,0,0,1,0,0,Exp control,
0,38,10,1,0,0,1,0,12429.91,Exp control,
0,24,11,1,0,0,1,0,0,Exp control,
0,19,10,0,1,0,1,1197.462,11223.72,Exp control,
0,23,11,1,0,0,1,0,5088.7598,Exp control,
0,20,7,0,1,0,1,0,4374.04,Exp control,
0,25,10,1,0,1,1,9319.4443,0,Exp control,
0,21,11,1,0,0,1,0,1553.291,Exp control,
0,25,10,1,0,0,1,0,0,Exp control,
0,22,11,1,0,1,1,0,1698.304,Exp control,
0,29,9,0,1,0,1,16341.16,16900.301,Exp control,
0,21,11,1,0,0,1,1862.889,11630.66,Exp control,
0,21,7,1,0,0,1,0,11011.57,Exp control,
0,23,11,1,0,0,1,0,0,Exp control,
0,20,12,1,0,0,0,1371.473,20893.109,Exp control,
0,21,11,0,1,0,1,8920.4707,20857.84,Exp control,
0,26,12,1,0,0,0,7322.0371,4677.0488,Exp control,
0,24,12,0,0,0,0,0,11294.63,Exp control,
0,43,10,1,0,0,1,4128.4429,7565.2729,Exp control,
0,31,11,1,0,0,1,1726.4449,0,Exp control,
0,22,11,1,0,0,1,2707.3721,100.6998,Exp control,
0,29,11,1,0,0,1,0,0,Exp control,
0,24,11,1,0,0,1,0,14626.39,Exp control,
0,22,9,1,0,0,1,0,12898.38,Exp control,
0,19,11,1,0,0,1,8870.8789,7396.292,Exp control,
0,28,11,1,0,0,1,0,5767.1328,Exp control,
0,18,10,0,1,0,1,0,6527.9189,Exp control,
0,18,9,1,0,0,1,2138.094,5767.7041,Exp control,
0,26,10,1,0,0,1,0,3931.238,Exp control,
0,25,10,1,0,0,1,0,20942.24,Exp control,
0,26,12,1,0,0,0,8479.5928,10820.55,Exp control,
0,23,11,1,0,0,1,29897.189,23483.449,Exp control,
0,20,8,0,1,0,1,1124.801,11731.2,Exp control,
0,24,10,1,0,0,1,0,0,Exp control,
0,27,13,1,0,0,0,8797.3477,1653.481,Exp control,
0,26,5,1,0,0,1,0,0,Exp control,
0,37,10,1,0,0,1,8606.7432,0,Exp control,
0,36,10,1,0,0,1,0,14690.35,Exp control,
0,22,11,1,0,0,1,0,0,Exp control,
0,22,9,1,0,0,1,506.40759,604.19873,Exp control,
0,25,12,1,0,0,0,0,3418.0969,Exp control,
0,22,10,1,0,0,1,1765.676,0,Exp control,
0,27,11,1,0,0,1,0,11197.34,Exp control,
0,29,8,1,0,0,1,0,0,Exp control,
0,18,9,1,0,0,1,2006.629,6546.0098,Exp control,
0,24,12,1,0,0,0,0,0,Exp control,
0,27,9,0,1,0,1,1596.762,6723.4141,Exp control,
0,19,9,1,0,0,1,902.45648,1914.4139,Exp control,
0,22,10,1,0,0,1,0,0,Exp control,
0,29,12,1,0,0,0,1359.347,132.75999,Exp control,
0,30,11,1,0,1,1,9311.9385,3982.801,Exp control,
0,22,7,1,0,0,1,13503.77,11607.09,Exp control,
0,24,7,1,0,0,1,0,1455.6899,Exp control,
0,29,14,1,0,0,0,3357.1851,7226.0488,Exp control,
0,29,12,1,0,0,0,0,1890.937,Exp control,
0,22,11,1,0,0,1,1321.66,2639.29,Exp control,
0,25,11,0,1,1,1,0,4485.6162,Exp control,
0,30,12,1,0,0,0,0,13613.35,Exp control,
0,22,8,1,0,0,1,0,1390.509,Exp control,
0,55,3,1,0,0,1,0,5843.7959,Exp control,
0,35,10,1,0,0,1,9902.7627,9453.8271,Exp control,
0,20,10,1,0,0,1,0,8598.5225,Exp control,
0,29,9,1,0,0,1,1203.824,9378.6533,Exp control,
0,20,11,1,0,0,1,3470.3889,7896.707,Exp control,
0,27,9,1,0,0,1,2129.0161,0,Exp control,
0,28,10,1,0,1,1,6449.48,16988.18,Exp control,
0,20,11,1,0,0,1,2531.311,0,Exp control,
0,26,14,1,0,1,0,2025.566,0,Exp control,
0,19,8,0,1,0,1,1087.803,2987.1011,Exp control,
0,34,11,1,0,0,1,0,2920.199,Exp control,
0,22,12,1,0,0,0,0,0,Exp control,
0,32,12,0,1,1,0,0,6735.3198,Exp control,
0,19,11,1,0,0,1,1868.021,0,Exp control,
0,31,10,1,0,0,1,0,0,Exp control,
0,18,9,1,0,0,1,0,0,Exp control,
0,28,10,1,0,0,1,4479.5869,128.672,Exp control,
0,32,12,1,0,0,0,12419.18,10673.7,Exp control,
0,50,10,0,1,0,1,0,0,Exp control,
0,20,12,1,0,0,0,591.81512,4159.9189,Exp control,
0,25,11,1,0,1,1,0,44.755459,Exp control,
0,23,10,1,0,1,1,0,0,Exp control,
0,21,14,1,0,0,0,5926.7949,29408.039,Exp control,
0,38,10,1,0,0,1,0,0,Exp control,
0,25,7,0,1,0,1,1177.118,9722.3486,Exp control,
0,25,10,1,0,1,1,0,3701.812,Exp control,
0,29,12,1,0,0,0,2080.209,16969.949,Exp control,
