treated,age,education,black,hispanic,married,re75,re78,group
1,19,12,1,0,0,2534.072,4551.979,Exp treated
1,30,10,1,0,0,2615.8169,0,Exp treated
1,25,12,1,0,0,2746.6079,2090.678,Exp treated
1,26,11,0,0,0,4676.457,1973.345,Exp treated
1,19,10,1,0,0,3473.8081,5861.603,Exp treated
1,19,8,0,0,0,3416.907,9251.3574,Exp treated
1,20,10,1,0,0,5100.8389,13626.04,Exp treated
1,21,11,1,0,0,5310.1069,7906.3408,Exp treated
1,23,12,1,0,0,7841.9722,7947.2568,Exp treated
1,19,11,1,0,0,6409.0269,11648.7,Exp treated
1,22,11,1,0,0,8774.791,18295.82,Exp treated
1,23,12,1,0,0,7782.042,14416.84,Exp treated
1,26,10,1,0,1,8141.7031,4635.6602,Exp treated
1,24,12,1,0,0,12982.34,0,Exp treated
1,18,10,0,1,0,12625.51,0,Exp treated
1,27,11,1,0,0,14223.5,7661.9731,Exp treated
1,21,11,0,1,0,17983.711,15191.91,Exp treated
1,25,8,0,0,0,23096.65,6421.5298,Exp treated
1,21,12,1,0,0,807.95111,4350.9072,Exp treated
1,19,11,1,0,0,532.2536,0,Exp treated
1,18,11,1,0,0,851.60608,0,Exp treated
1,34,7,1,0,0,857.51947,0,Exp treated
1,21,11,0,0,0,946.22791,11412.24,Exp treated
1,25,9,1,0,0,1536.5031,1709.342,Exp treated
1,17,9,1,0,0,1341.651,1374.066,Exp treated
1,28,8,1,0,0,1182.786,7779.2632,Exp treated
1,18,9,1,0,0,1182.786,5100.4692,Exp treated
1,27,12,1,0,0,4310.4551,0,Exp treated
1,23,9,1,0,0,1774.1801,11464.71,Exp treated
1,19,8,0,1,0,1862.889,8774.623,Exp treated
1,21,11,1,0,0,2158.585,0,Exp treated
1,21,11,1,0,0,2217.7241,4082.3701,Exp treated
1,23,10,1,0,0,2217.7241,0,Exp treated
1,27,9,1,0,0,2294.605,2018.556,Exp treated
1,27,11,1,0,0,2483.8521,0,Exp treated
1,23,12,0,0,0,3903.1951,796.55969,Exp treated
1,27,8,1,0,0,7218.2769,7976.9321,Exp treated
1,28,11,1,0,1,6952.5801,7318.186,Exp treated
1,25,12,1,0,0,5204.2588,0,Exp treated
1,20,12,1,0,0,6085.4209,9750.6602,Exp treated
1,26,12,1,0,0,6608.8032,5811.7651,Exp treated
1,23,10,1,0,1,10495.08,3385.811,Exp treated
1,49,8,0,0,1,7285.9482,16717.119,Exp treated
1,19,11,1,0,0,10224.37,11293.81,Exp treated
1,21,13,0,0,0,8616.8516,99.570023,Exp treated
1,27,12,1,0,1,7806.3872,2777.585,Exp treated
1,23,11,1,0,0,8959.5889,1659.5,Exp treated
1,22,11,1,0,0,12170.94,8408.3926,Exp treated
1,24,15,1,0,0,13008.5,14683.63,Exp treated
1,24,12,1,0,0,18154.061,0,Exp treated
1,18,11,1,0,0,214.5636,929.88391,Exp treated
1,17,10,1,0,0,5793.8521,5522.7881,Exp treated
1,17,9,1,0,0,1253.439,5445.2002,Exp treated
1,28,11,1,0,0,6871.856,0,Exp treated
1,27,11,1,0,0,2666.2739,0,Exp treated
1,19,11,1,0,0,2615.2759,4146.603,Exp treated
1,18,11,0,0,0,919.55792,4321.7051,Exp treated
1,24,10,1,0,0,2421.947,1660.5081,Exp treated
1,23,12,1,0,0,3039.96,8484.2393,Exp treated
1,21,9,1,0,0,5749.3311,743.66663,Exp treated
1,21,12,1,0,0,3332.4089,9371.0371,Exp treated
1,24,9,1,0,0,2288.675,4849.5591,Exp treated
1,20,9,0,1,0,5875.0488,1358.6429,Exp treated
1,25,13,1,0,0,3090.7319,0,Exp treated
1,35,8,1,0,1,17976.15,3786.6279,Exp treated
1,17,9,0,1,0,74.343452,6210.6699,Exp treated
1,24,11,1,0,1,1666.113,4032.708,Exp treated
1,20,12,1,0,0,165.2077,0,Exp treated
1,21,8,1,0,0,3695.897,4279.6128,Exp treated
1,18,10,1,0,0,1784.274,11141.39,Exp treated
1,27,12,1,0,0,357.94989,22163.25,Exp treated
1,22,9,1,0,0,3836.9861,3462.564,Exp treated
1,46,8,1,0,0,2594.7229,0,Exp treated
1,19,10,1,0,0,6056.7539,0,Exp treated
1,19,11,0,1,1,5463.8032,6788.4629,Exp treated
1,22,12,1,0,0,936.17731,0,Exp treated
1,22,12,0,0,0,8455.5039,12590.71,Exp treated
1,26,12,1,0,1,5794.8311,1424.944,Exp treated
1,29,12,1,0,0,4878.937,10976.51,Exp treated
1,31,9,1,0,0,5517.8408,9558.501,Exp treated
1,29,12,1,0,0,1817.2841,0,Exp treated
1,35,9,1,0,1,13830.64,12803.97,Exp treated
1,25,12,1,0,0,2409.2739,0,Exp treated
1,22,12,0,1,1,7055.7021,10092.83,Exp treated
1,27,10,1,0,0,3550.075,0,Exp treated
1,22,10,1,0,1,5588.6641,13228.28,Exp treated
1,19,8,1,0,0,2937.2639,7535.9419,Exp treated
1,20,11,1,0,0,1220.8361,1085.4399,Exp treated
1,21,12,0,0,0,334.04941,12558.02,Exp treated
1,27,12,1,0,1,334.04929,0,Exp treated
1,20,10,1,0,0,2777.355,5615.189,Exp treated
1,23,12,1,0,0,501.0741,671.33179,Exp treated
1,27,13,0,0,1,853.72247,0,Exp treated
1,23,12,0,1,0,1117.439,559.44318,Exp treated
1,24,12,1,0,0,2842.7639,6167.6812,Exp treated
1,20,11,1,0,0,1484.994,6943.3418,Exp treated
1,26,10,1,0,0,6788.958,672.87732,Exp treated
1,25,14,1,0,1,11536.57,36646.949,Exp treated
1,26,10,1,0,1,0,0,Exp treated
1,20,9,1,0,0,0,8881.665,Exp treated
1,31,4,1,0,0,4023.2109,7382.5488,Exp treated
1,24,10,1,0,1,4078.1521,0,Exp treated
1,33,11,1,0,1,25142.24,4181.9419,Exp treated
1,33,12,1,0,1,10941.35,15952.6,Exp treated
0,23,10,1,0,0,0,0,Exp control
0,26,12,0,0,0,0,12383.68,Exp control
0,22,9,1,0,0,0,0,Exp control
0,34,9,1,0,0,4368.4131,14051.16,Exp control
0,18,9,1,0,0,0,10740.08,Exp control
0,45,11,1,0,0,0,11796.47,Exp control
0,18,9,1,0,0,0,9227.0518,Exp control
0,27,12,1,0,0,2483.8511,3552.2681,Exp control
0,24,8,0,0,0,0,10569.27,Exp control
0,34,11,1,0,1,0,6040.335,Exp control
0,20,13,1,0,0,8965.2432,9199.5635,Exp control
0,24,4,0,1,0,0,3880.833,Exp control
0,28,12,0,0,0,803.34302,16477.02,Exp control
0,21,10,1,0,0,922.57288,0,Exp control
0,28,12,1,0,1,29009.109,10067.43,Exp control
0,20,12,1,0,0,6004.728,4779.7202,Exp control
0,23,8,1,0,0,3403.0559,0,Exp control
0,21,11,1,0,1,7244.561,8976.8262,Exp control
0,36,10,1,0,0,0,0,Exp control
0,18,12,0,0,0,735.20508,2502.5259,Exp control
0,21,14,1,0,0,0,5775.062,Exp control
0,30,13,1,0,0,5569.7612,0,Exp control
0,26,11,0,1,0,1491.016,0,Exp control
0,28,9,1,0,0,0,0,Exp control
0,31,4,0,0,0,10711.08,0,Exp control
0,18,12,1,0,0,642.66449,14444.71,Exp control
0,27,7,1,0,1,0,0,Exp control
0,19,11,0,0,0,0,0,Exp control
0,20,8,1,0,0,0,0,Exp control
0,28,8,1,0,0,10610.08,4623.188,Exp control
0,34,12,1,0,0,0,2113.7219,Exp control
0,24,10,1,0,0,0,7618.6392,Exp control
0,24,9,1,0,0,0,16461.57,Exp control
0,22,8,0,1,0,0,9920.9453,Exp control
0,25,11,1,0,0,0,4196.375,Exp control
0,20,11,0,0,0,1177.118,8743.0713,Exp control
0,21,9,1,0,0,0,3343.2241,Exp control
0,19,12,1,0,0,2814.1951,1720.907,Exp control
0,39,9,1,0,0,0,0,Exp control
0,19,9,1,0,1,0,16658.25,Exp control
0,24,10,1,0,0,1307.908,0,Exp control
0,44,9,1,0,0,0,9722.0029,Exp control
0,23,11,1,0,0,1896.0229,5573.5469,Exp control
0,22,12,1,0,0,532.2536,1333.4449,Exp control
0,27,8,1,0,0,0,3783.6599,Exp control
0,27,11,1,0,1,1122.621,215.83479,Exp control
0,18,9,1,0,0,1605.448,0,Exp control
0,25,8,1,0,0,0,3515.929,Exp control
0,31,10,1,0,0,0,17014.59,Exp control
0,28,10,1,0,0,6567.3291,5435.7871,Exp control
0,26,10,1,0,1,558.77338,0,Exp control
0,30,8,1,0,0,1706.657,0,Exp control
0,28,11,0,1,1,0,6771.6221,Exp control
0,34,10,1,0,1,0,0,Exp control
0,21,7,0,1,0,0,0,Exp control
0,33,12,1,0,0,0,5970.2568,Exp control
0,19,9,1,0,0,1778.089,7171,Exp control
0,20,11,1,0,0,7967.209,0,Exp control
0,18,10,0,1,0,0,1859.167,Exp control
0,27,12,1,0,1,752.39008,0,Exp control
0,26,12,1,0,1,0,6191.9429,Exp control
0,24,9,1,0,0,9662.6699,0,Exp control
0,31,12,1,0,0,0,7284.394,Exp control
0,22,12,1,0,0,2158.05,0,Exp control
0,28,14,1,0,0,6539.5371,3123.116,Exp control
0,35,10,1,0,0,0,445.8309,Exp control
0,20,12,1,0,0,0,0,Exp control
0,30,9,0,0,0,3141.917,1320.923,Exp control
0,25,11,1,0,0,0,0,Exp control
0,25,10,1,0,0,0,7367.04,Exp control
0,35,11,1,0,0,0,0,Exp control
0,22,8,1,0,0,6150.52,0,Exp control
0,21,12,1,0,0,449.04791,0,Exp control
0,20,10,1,0,0,0,2015.5031,Exp control
0,21,8,1,0,0,2237.208,1764.108,Exp control
0,25,9,0,1,0,0,15791.13,Exp control
0,24,10,0,1,0,3000.8379,5350.0381,Exp control
0,33,11,1,0,0,2899.8201,18859.891,Exp control
0,21,9,1,0,0,12357.22,0,Exp control
0,27,11,1,0,1,4491.8838,0,Exp control
0,27,10,1,0,0,0,1135.47,Exp control
0,20,11,0,1,0,0,6378.7202,Exp control
0,25,13,1,0,0,10240.36,10020.72,Exp control
0,18,11,1,0,0,645.27228,5497.5908,Exp control
0,26,11,1,0,0,0,7176.187,Exp control
0,38,8,1,0,0,0,0,Exp control
0,21,11,1,0,1,7652.1201,8396.6543,Exp control
0,34,11,1,0,0,8912.4844,5611.8662,Exp control
0,21,10,1,0,0,1162.3621,39483.531,Exp control
0,31,13,1,0,0,10393.61,7404.7622,Exp control
0,34,10,1,0,0,0,7952.54,Exp control
0,25,11,1,0,0,3649.769,0,Exp control
0,24,9,1,0,0,1275.356,8644.4268,Exp control
0,19,12,1,0,0,0,0,Exp control
0,32,8,1,0,0,0,7152.1318,Exp control
0,20,9,0,1,0,0,8329.8232,Exp control
0,23,10,1,0,0,0,0,Exp control
0,38,10,1,0,0,0,12429.91,Exp control
0,24,11,1,0,0,0,0,Exp control
0,19,10,0,1,0,1197.462,11223.72,Exp control
0,23,11,1,0,0,0,5088.7598,Exp control
0,20,7,0,1,0,0,4374.04,Exp control
0,25,10,1,0,1,9319.4443,0,Exp control
0,21,11,1,0,0,0,1553.291,Exp control
0,25,10,1,0,0,0,0,Exp control
0,22,11,1,0,1,0,1698.304,Exp control
0,29,9,0,1,0,16341.16,16900.301,Exp control
0,21,11,1,0,0,1862.889,11630.66,Exp control
0,21,7,1,0,0,0,11011.57,Exp control
0,23,11,1,0,0,0,0,Exp control
0,20,12,1,0,0,1371.473,20893.109,Exp control
0,21,11,0,1,0,8920.4707,20857.84,Exp control
0,26,12,1,0,0,7322.0371,4677.0488,Exp control
0,24,12,0,0,0,0,11294.63,Exp control
0,43,10,1,0,0,4128.4429,7565.2729,Exp control
0,31,11,1,0,0,1726.4449,0,Exp control
0,22,11,1,0,0,2707.3721,100.6998,Exp control
0,29,11,1,0,0,0,0,Exp control
0,24,11,1,0,0,0,14626.39,Exp control
0,22,9,1,0,0,0,12898.38,Exp control
0,19,11,1,0,0,8870.8789,7396.292,Exp control
0,28,11,1,0,0,0,5767.1328,Exp control
0,18,10,0,1,0,0,6527.9189,Exp control
0,18,9,1,0,0,2138.094,5767.7041,Exp control
0,26,10,1,0,0,0,3931.238,Exp control
0,25,10,1,0,0,0,20942.24,Exp control
0,26,12,1,0,0,8479.5928,10820.55,Exp control
0,23,11,1,0,0,29897.189,23483.449,Exp control
0,20,8,0,1,0,1124.801,11731.2,Exp control
0,24,10,1,0,0,0,0,Exp control
0,27,13,1,0,0,8797.3477,1653.481,Exp control
0,26,5,1,0,0,0,0,Exp control
0,37,10,1,0,0,8606.7432,0,Exp control
0,36,10,1,0,0,0,14690.35,Exp control
0,22,11,1,0,0,0,0,Exp control
0,22,9,1,0,0,506.40759,604.19873,Exp control
0,25,12,1,0,0,0,3418.0969,Exp control
0,22,10,1,0,0,1765.676,0,Exp control
0,27,11,1,0,0,0,11197.34,Exp control
0,29,8,1,0,0,0,0,Exp control
0,18,9,1,0,0,2006.629,6546.0098,Exp control
0,24,12,1,0,0,0,0,Exp control
0,27,9,0,1,0,1596.762,6723.4141,Exp control
0,19,9,1,0,0,902.45648,1914.4139,Exp control
0,22,10,1,0,0,0,0,Exp control
0,29,12,1,0,0,1359.347,132.75999,Exp control
0,30,11,1,0,1,9311.9385,3982.801,Exp control
0,22,7,1,0,0,13503.77,11607.09,Exp control
0,24,7,1,0,0,0,1455.6899,Exp control
0,29,14,1,0,0,3357.1851,7226.0488,Exp control
0,29,12,1,0,0,0,1890.937,Exp control
0,22,11,1,0,0,1321.66,2639.29,Exp control
0,25,11,0,1,1,0,4485.6162,Exp control
0,30,12,1,0,0,0,13613.35,Exp control
0,22,8,1,0,0,0,1390.509,Exp control
0,55,3,1,0,0,0,5843.7959,Exp control
0,35,10,1,0,0,9902.7627,9453.8271,Exp control
0,20,10,1,0,0,0,8598.5225,Exp control
0,29,9,1,0,0,1203.824,9378.6533,Exp control
0,20,11,1,0,0,3470.3889,7896.707,Exp control
0,27,9,1,0,0,2129.0161,0,Exp control
0,28,10,1,0,1,6449.48,16988.18,Exp control
0,20,11,1,0,0,2531.311,0,Exp control
0,26,14,1,0,1,2025.566,0,Exp control
0,19,8,0,1,0,1087.803,2987.1011,Exp control
0,34,11,1,0,0,0,2920.199,Exp control
0,22,12,1,0,0,0,0,Exp control
0,32,12,0,1,1,0,6735.3198,Exp control
0,19,11,1,0,0,1868.021,0,Exp control
0,31,10,1,0,0,0,0,Exp control
0,18,9,1,0,0,0,0,Exp control
0,28,10,1,0,0,4479.5869,128.672,Exp control
0,32,12,1,0,0,12419.18,10673.7,Exp control
0,50,10,0,1,0,0,0,Exp control
0,20,12,1,0,0,591.81512,4159.9189,Exp control
0,25,11,1,0,1,0,44.755459,Exp control
0,23,10,1,0,1,0,0,Exp control
0,21,14,1,0,0,5926.7949,29408.039,Exp control
0,38,10,1,0,0,0,0,Exp control
0,25,7,0,1,0,1177.118,9722.3486,Exp control
0,25,10,1,0,1,0,3701.812,Exp control
0,29,12,1,0,0,2080.209,16969.949,Exp control
0,42,10,1,0,0,0,6930.3359,Exp control
0,39,12,1,0,1,0,3795.7991,Exp control
0,27,11,1,0,1,20035.26,9074.7637,Exp control
0,34,13,1,0,1,0,5193.2471,Exp control
0,25,11,1,0,1,3266.406,479.2677,Exp control
0,28,10,1,0,0,10068.4,0,Exp control
0,24,7,1,0,0,0,2193.5281,Exp control
0,32,11,1,0,0,0,11120.53,Exp control
0,27,13,1,0,0,0,7609.5181,Exp control
0,20,12,1,0,0,4932.2148,6086.9658,Exp control
0,29,13,1,0,0,2265.5791,2725.322,Exp control
0,26,10,1,0,0,0,2169.0271,Exp control
0,44,11,1,0,0,0,0,Exp control
0,24,9,1,0,0,4118.6812,597.41998,Exp control
0,28,10,0,0,1,6346.1929,6793.0771,Exp control
0,24,11,1,0,0,1327.993,9495.9023,Exp control
0,25,11,1,0,0,0,1264.2321,Exp control
0,25,8,1,0,1,515.82739,14281.31,Exp control
0,23,11,1,0,0,5716.4072,10274.84,Exp control
0,20,11,1,0,0,1650.4611,278.87509,Exp control
0,24,12,1,0,0,8100.5332,11235.11,Exp control
0,20,11,0,0,1,8159.5068,6336.7832,Exp control
0,25,12,1,0,0,0,0,Exp control
0,28,11,1,0,0,863.47949,0,Exp control
0,28,12,1,0,1,0,0,Exp control
0,21,12,0,0,0,5440.8149,11544.01,Exp control
0,24,11,0,0,0,1468.3831,10361.69,Exp control
0,32,10,1,0,0,0,0,Exp control
0,21,10,1,0,1,1785.1801,6831.106,Exp control
0,21,8,1,0,0,6608.3042,3083.5811,Exp control
0,25,10,1,0,1,11696.37,11127.28,Exp control
0,22,10,0,0,1,23031.98,5448.8008,Exp control
0,22,10,1,0,0,0,0,Exp control
0,19,9,1,0,0,0,5712.6431,Exp control
0,31,10,1,0,1,0,0,Exp control
0,23,11,1,0,0,0,0,Exp control
0,22,11,1,0,0,875.26147,9139.6523,Exp control
0,33,11,1,0,0,0,0,Exp control
0,27,10,1,0,0,0,1184.882,Exp control
0,29,11,1,0,1,0,10225.88,Exp control
0,38,10,1,0,1,14701.95,4393.5229,Exp control
0,20,6,1,0,0,2850.6101,0,Exp control
0,23,10,1,0,0,0,0,Exp control
0,29,11,1,0,0,3256.165,3290.293,Exp control
0,26,9,1,0,0,6955.0542,11856.88,Exp control
0,25,9,1,0,1,0,4715.3711,Exp control
0,24,11,1,0,0,13370.58,19533.881,Exp control
0,25,10,1,0,0,0,289.78989,Exp control
0,23,11,0,0,0,19995.641,12896.22,Exp control
0,25,13,1,0,0,3751.0481,1672.776,Exp control
0,20,9,1,0,0,9164.4492,8924.3945,Exp control
0,25,11,1,0,0,3072.7261,284.65839,Exp control
0,29,12,0,0,0,12205.14,16328.96,Exp control
0,25,9,1,0,1,16946.631,7343.9639,Exp control
0,23,11,1,0,0,580.7901,0,Exp control
0,44,9,1,0,1,10857.24,12359.31,Exp control
